"Player","My C Won","Hands","Fold to Any PFR","Fold to F CBet","Att To Steal","PFR","VPIP","WTSD %","WSD","WSD (ns)","Total AF","Total AFq"
"EliYR","€1.55","109","75.51","33.33","0.00","0.00","20.19","13.04","66.67","100.00","4.00","57.14"
"TheMan591","-€0.07","70","61.29","25.00","0.00","0.00","42.86","31.25","60.00","71.43","0.13","6.38"
"Schifty1986","-€0.51","68","75.00","100.00","0.00","1.47","27.94","33.33","50.00","0.00","1.00","26.92"
"petronos","€0.57","62","80.00","50.00","0.00","3.28","18.03","46.15","83.33","100.00","1.00","33.33"
"joternal","-€0.79","72","75.76","-","0.00","8.33","36.11","23.33","71.43","83.33","4.67","40.00"
"ton4k","-€0.89","149","68.09","55.56","0.00","0.67","26.85","20.00","66.67","50.00","0.29","11.48"
"veil1984","€0.52","66","64.86","77.78","0.00","1.54","30.77","11.11","50.00","100.00","1.20","27.27"
"Midnightxx","-€0.72","61","73.91","50.00","0.00","4.92","14.75","0.00","-","-","7.00","50.00"
"Classic28","€1.79","81","82.05","75.00","0.00","0.00","41.98","33.33","90.00","100.00","1.73","42.22"
"kimibeck","€0.17","81","86.21","100.00","0.00","5.06","24.69","34.78","62.50","50.00","2.00","40.00"
"Sasmil","-€0.53","62","57.89","50.00","0.00","0.00","22.95","29.41","40.00","50.00","0.69","28.13"
"davegizmo7","-€0.97","62","26.67","40.00","0.00","1.61","61.29","20.00","50.00","50.00","0.76","29.69"
"Mehdi780","-€1.64","65","22.22","44.44","0.00","7.69","83.08","34.55","42.11","53.85","0.92","37.63"
"durlanac","-€0.82","76","92.86","100.00","0.00","0.00","11.11","14.29","100.00","-","","16.67"
"noobsmoke24","-€0.63","87","86.36","100.00","0.00","2.33","12.79","20.00","66.67","0.00","2.50","29.41"
"onutta","-€0.23","87","83.78","20.00","0.00","6.90","14.94","50.00","66.67","50.00","0.60","31.58"
"Akena7","€3.14","85","70.21","57.14","0.00","1.20","44.05","41.38","41.67","62.50","0.72","28.26"
"monica293","-€0.52","62","68.00","100.00","0.00","5.00","21.31","26.67","50.00","50.00","2.33","35.00"
"8zone8","€2.38","104","81.48","0.00","0.00","0.97","13.59","45.00","77.78","75.00","0.40","17.39"
"ImNotAsian","-€0.35","65","82.61","100.00","0.00","1.59","36.51","22.73","40.00","0.00","5.33","55.17"
"ck387","-€0.38","76","80.00","0.00","0.00","11.84","17.11","20.00","33.33","33.33","1.50","42.86"
"sametoy","€0.04","80","80.00","33.33","0.00","3.75","13.75","22.22","50.00","-","2.50","45.45"
"arthusxjr","€0.66","96","45.16","37.50","0.00","18.75","50.00","27.08","46.15","62.50","1.30","41.10"
"heureka2","€0.13","90","96.88","100.00","0.00","0.00","13.48","28.57","50.00","100.00","","66.67"
"KukilSergey","-€0.37","66","69.57","50.00","0.00","3.03","19.70","45.00","44.44","33.33","0.40","16.00"
"TODD182","€2.69","70","55.88","66.67","0.00","0.00","34.29","20.00","80.00","80.00","1.14","34.78"
"mirka79","€1.84","69","70.00","28.57","0.00","7.58","56.06","20.59","42.86","75.00","2.64","54.72"
"Jimos2013","-€0.83","79","68.75","100.00","0.00","1.27","25.32","16.00","75.00","0.00","0.70","19.44"
"motesilver","€0.05","120","95.83","-","0.00","2.54","5.08","25.00","50.00","100.00","4.00","57.14"
"winvanja","€1.04","217","93.51","66.67","0.00","2.35","7.01","39.29","54.55","80.00","1.38","32.35"
"Erwin911","€0.89","92","85.71","100.00","0.00","1.10","41.76","27.27","66.67","66.67","1.64","42.59"
"Watching_U","-€7.48","96","76.67","0.00","0.00","13.54","17.71","53.33","25.00","14.29","2.17","56.52"
"Koshak78","€0.42","85","85.71","33.33","0.00","1.18","17.65","35.29","100.00","100.00","0.43","15.79"
"taike18","-€1.34","148","24.64","54.84","0.00","2.03","63.51","34.74","57.58","53.85","0.70","25.00"
"Vinter447","-€0.45","127","61.90","68.75","0.00","0.00","49.61","25.76","47.06","54.55","1.20","32.97"
"rocket_ralf","-€0.27","105","90.63","100.00","0.00","4.85","11.65","14.29","33.33","100.00","1.75","30.43"
"naeton","-€2.08","109","77.78","100.00","0.00","4.59","20.18","16.67","75.00","66.67","1.00","30.95"
"alanc95","€0.07","296","80.77","69.23","0.00","0.34","35.03","29.35","51.85","63.64","0.89","27.27"
"misu05x","€0.30","71","70.83","100.00","0.00","7.35","21.43","31.25","60.00","66.67","3.67","52.38"
"pk88pk","-€1.22","129","93.33","50.00","0.00","4.65","10.08","25.00","0.00","0.00","6.00","50.00"
"shark_22","€0.85","71","100.00","-","0.00","5.63","7.04","25.00","100.00","100.00","1.50","30.00"
"yra1966","€0.24","77","82.61","0.00","0.00","1.30","20.78","26.09","50.00","100.00","1.78","43.24"
"tolik1081991","€1.72","118","92.68","50.00","0.00","4.24","7.63","25.00","100.00","100.00","11.00","61.11"
"Viorel_RVD","-€1.64","72","42.11","33.33","0.00","2.82","63.89","48.94","65.22","50.00","0.68","26.56"
"pokerfaced3","-€2.74","193","70.00","40.00","0.00","8.90","22.51","27.08","46.15","40.00","1.90","46.91"
"konglibin","-€3.95","78","35.14","70.00","0.00","1.30","66.23","20.37","36.36","50.00","0.79","21.13"
"mihail7100","-€1.35","74","84.85","66.67","0.00","0.00","12.16","12.50","100.00","100.00","2.00","22.22"
"PQttr123","-€4.65","92","90.00","100.00","0.00","8.70","15.22","44.44","37.50","28.57","","70.59"
"almatayec","€0.42","62","28.13","30.00","0.00","17.74","80.65","34.69","47.06","66.67","1.14","37.88"
"luotoslo","€0.02","67","75.00","50.00","0.00","20.90","26.87","35.00","42.86","33.33","1.70","50.00"
"aksh_t20","€2.63","221","82.09","100.00","0.00","0.92","18.89","18.37","88.89","100.00","1.79","33.78"
"jenelle60","€3.46","106","23.53","43.75","0.00","7.55","69.81","37.50","56.67","62.50","1.07","37.90"
"police2002","-€0.94","240","86.21","20.00","0.00","0.42","15.42","48.84","66.67","58.33","0.43","18.87"
"lyangellll","€4.61","91","82.76","50.00","0.00","3.33","15.56","21.43","66.67","100.00","0.38","15.00"
"Keneil007","€0.74","70","89.66","0.00","0.00","0.00","8.70","33.33","100.00","100.00","0.67","25.00"
"sigros","-€0.89","125","95.45","0.00","0.00","0.00","21.60","16.67","0.00","0.00","4.75","50.00"
"guncis254elm","-€4.47","94","15.00","46.43","0.00","1.06","87.23","50.00","52.38","54.55","0.52","23.36"
"Daneril","-€1.22","128","84.44","100.00","0.00","6.56","9.02","25.00","66.67","50.00","1.00","26.67"
"mynew100","-€5.30","65","77.27","0.00","0.00","15.38","20.00","28.57","25.00","0.00","1.50","48.00"
"Marsen77","-€0.03","71","86.67","0.00","0.00","1.41","22.54","18.18","50.00","50.00","0.75","20.00"
"In_the_Zone","€0.08","65","86.67","100.00","0.00","4.84","16.13","0.00","-","-","6.00","40.00"
"angel_ii","€0.76","73","65.63","25.00","0.00","2.78","22.22","35.00","71.43","75.00","3.00","48.00"
"capricorn176","-€6.15","87","58.33","66.67","0.00","4.60","37.93","26.47","22.22","12.50","2.00","41.86"
"samatis","€4.37","263","61.29","85.71","0.00","3.44","41.98","23.73","50.00","58.82","2.43","48.91"
"Zalters","€1.22","69","82.14","50.00","0.00","2.90","26.09","31.25","100.00","100.00","10.00","50.00"
"Energeticsby","€4.67","68","22.58","20.00","0.00","5.88","67.65","35.42","58.82","81.82","1.13","42.35"
"AcesWild20","€0.91","132","86.96","100.00","0.00","4.58","15.27","9.09","50.00","-","6.33","65.52"
"pkrstu","€1.43","69","91.30","-","0.00","13.04","15.94","27.27","66.67","66.67","1.33","30.77"
"mesobutus1","-€2.50","71","45.83","25.00","0.00","9.86","35.21","35.71","40.00","40.00","1.54","45.45"
"nutnut73","€0.43","63","35.71","12.50","0.00","7.94","53.97","50.00","47.37","46.15","1.12","44.44"
"dingdablo69","-€1.40","74","42.86","37.50","0.00","5.41","50.00","56.82","56.00","53.33","0.51","26.03"
"haroonka","€0.49","74","96.43","-","0.00","6.94","6.76","80.00","50.00","66.67","1.50","60.00"
"JoshJC18","-€1.10","100","66.67","57.14","0.00","5.00","29.00","20.59","28.57","25.00","0.53","17.78"
"mofoojones","-€3.29","62","47.06","66.67","0.00","3.23","61.29","31.58","25.00","27.27","1.00","33.85"
"t11tracy147","-€2.11","178","64.52","92.86","0.00","0.00","39.33","26.56","52.94","63.64","0.94","30.19"
"vadikmm","€0.17","78","75.00","60.00","0.00","0.00","26.67","38.89","71.43","75.00","2.67","42.11"
"Buoritos","€0.31","67","90.48","-","0.00","0.00","10.45","25.00","100.00","100.00","0.80","25.00"
"Joltz888","-€0.88","72","62.86","60.00","0.00","8.45","34.72","3.85","100.00","100.00","1.71","30.77"
"olly6767","€1.70","65","73.08","100.00","0.00","3.08","26.15","28.57","66.67","75.00","0.73","30.56"
"Macc225","€0.70","66","88.46","0.00","0.00","0.00","22.73","40.00","75.00","100.00","1.50","37.50"
"simona2005tm","€2.72","86","60.00","100.00","0.00","4.71","52.33","29.79","42.86","44.44","1.71","36.92"
"Dhahran90","-€0.20","63","48.15","66.67","0.00","0.00","61.90","28.21","45.45","33.33","1.38","35.29"
"Bullit161","-€0.15","89","57.14","50.00","0.00","9.20","40.91","33.33","63.64","60.00","1.44","43.33"
"laureanoc23","€0.44","67","85.71","0.00","0.00","1.56","9.38","33.33","100.00","100.00","0.25","12.50"
"Sungi13","-€1.04","89","88.89","100.00","0.00","0.00","7.95","0.00","-","-","-","0.00"
"sarajayne81","-€0.33","69","45.45","61.54","0.00","0.00","46.38","30.30","50.00","42.86","0.60","25.00"
