"Player","My C Won","Hands","Fold to Any PFR","Fold to F CBet","Att To Steal","PFR","VPIP","WTSD %","WSD","WSD (ns)","Total AF","Total AFq"
"IamBFT","-€0.18","164","95.00","-","21.74","10.06","10.49","26.32","100.00","100.00","1.50","27.27"
"steesteestee","€2.34","80","95.83","-","21.74","15.19","15.19","25.00","100.00","100.00","6.00","60.00"
"HNitu","-€0.42","148","80.88","33.33","21.43","12.24","17.69","20.00","75.00","75.00","1.75","43.75"
"vaduvaa","-€0.80","81","91.43","100.00","21.05","14.47","17.11","28.57","100.00","100.00","0.00","0.00"
"IgorLapin","-€0.44","85","75.00","33.33","20.83","8.64","23.46","62.50","50.00","50.00","0.70","31.82"
"buratino22","€0.14","242","93.18","100.00","20.69","10.64","11.76","25.93","42.86","66.67","6.00","38.71"
"rhesu","-€3.23","241","87.50","75.00","20.69","11.76","15.97","16.33","37.50","33.33","6.50","41.27"
"ReVolt111","€0.43","187","91.80","0.00","20.45","9.89","17.93","11.76","75.00","100.00","2.38","43.18"
"htylmc86","€17.91","373","88.11","71.43","20.45","10.05","20.65","24.00","66.67","80.00","1.95","39.00"
"mitos777","€1.19","101","87.18","-","20.00","13.00","14.00","55.56","60.00","66.67","","75.00"
"komaritskiy","€0.43","68","95.45","0.00","20.00","4.48","13.43","16.67","100.00","100.00","1.43","41.67"
"TakumikuF","€0.90","106","77.27","50.00","20.00","12.50","38.10","26.47","44.44","57.14","4.00","59.57"
"jasonmorton","-€2.02","147","79.55","100.00","20.00","13.70","26.71","26.83","54.55","50.00","2.71","37.25"
"wurzzzel","-€1.36","69","75.00","0.00","20.00","1.47","32.35","36.36","25.00","0.00","0.75","31.58"
"wonderomsk","-€0.63","202","91.43","0.00","20.00","7.00","14.93","37.50","55.56","42.86","4.00","60.61"
"gssloxw","-€2.42","102","100.00","-","20.00","6.12","7.14","40.00","50.00","50.00","1.00","37.50"
"Dirik15","€0.95","68","46.15","50.00","20.00","8.96","51.47","22.22","62.50","60.00","3.00","58.93"
"Jurchuk","-€0.44","80","70.97","75.00","20.00","11.25","30.00","22.22","33.33","50.00","2.50","48.78"
"suzannib1","-€0.11","70","100.00","-","20.00","7.14","7.14","20.00","0.00","0.00","","80.00"
"AlllllIN1982","-€1.06","91","74.19","75.00","20.00","14.94","25.29","26.09","83.33","66.67","0.86","23.08"
"AgroTank","-€1.78","83","68.00","100.00","20.00","11.39","17.72","26.32","60.00","50.00","3.00","33.33"
"bozomisi","€4.61","123","65.96","66.67","20.00","0.82","36.89","24.00","83.33","75.00","2.38","44.71"
"b752y34","€1.72","83","90.63","0.00","20.00","7.23","18.07","41.67","80.00","100.00","8.00","57.14"
"veresk6","€0.36","84","55.56","100.00","20.00","12.05","40.96","32.56","57.14","87.50","3.25","46.43"
"taches1","-€0.30","105","87.80","100.00","20.00","6.73","11.43","7.69","100.00","-","","42.86"
"RivrPirate","€0.87","76","80.56","25.00","20.00","9.21","22.37","21.05","75.00","75.00","2.50","53.57"
"Ignotus_8","€2.66","62","85.00","100.00","20.00","9.68","22.58","14.29","100.00","100.00","2.00","43.48"
"ganjjj","-€2.68","80","45.24","50.00","20.00","12.82","60.76","27.27","33.33","33.33","1.88","47.06"
"Maori_zu","-€1.69","72","80.77","66.67","20.00","11.43","17.14","20.00","50.00","0.00","7.00","50.00"
"AUSsome2013","€1.02","107","85.00","100.00","20.00","7.55","18.87","42.86","44.44","50.00","1.20","38.71"
"spony17","€0.27","85","83.33","100.00","19.35","13.25","43.37","55.56","40.00","50.00","2.67","57.14"
"DenPoker14","-€0.51","85","97.30","-","19.05","11.25","13.75","16.67","100.00","100.00","6.00","66.67"
"rivermanBR","€0.13","67","85.71","100.00","19.05","11.11","17.19","37.50","66.67","100.00","","33.33"
"Cardmasher","€2.49","123","74.00","62.50","19.05","6.72","27.50","19.44","42.86","60.00","2.71","39.58"
"Zdorowyak","€2.22","320","86.96","37.50","18.75","7.81","17.50","22.39","66.67","63.64","1.85","45.71"
"icemanfish","€0.97","142","76.47","80.00","18.75","13.48","28.37","28.57","66.67","71.43","1.84","51.47"
"ursus28","€0.23","62","61.90","100.00","18.75","10.34","46.55","30.43","71.43","66.67","1.00","31.03"
"purplecheck","€0.68","212","84.15","100.00","18.75","8.10","18.01","21.43","77.78","66.67","2.50","37.04"
"mcammo82","-€3.67","268","55.56","41.18","18.56","12.78","39.85","27.93","41.94","43.75","1.16","31.21"
"neon184","€1.05","102","81.58","100.00","18.18","4.04","22.00","32.14","55.56","75.00","8.00","30.77"
"dyalikedags","-€0.82","137","66.00","33.33","18.18","5.15","29.41","26.83","36.36","25.00","2.63","42.00"
"misspurrfect","-€0.86","135","76.32","100.00","18.18","13.60","40.00","19.61","50.00","20.00","3.18","50.00"
"kreks950","-€0.48","100","70.45","75.00","18.18","11.58","34.02","33.33","60.00","100.00","1.18","34.21"
"hellu15","-€2.62","129","77.27","50.00","18.18","6.30","18.11","33.33","42.86","20.00","0.63","20.00"
"gerard2000","€4.42","131","84.13","100.00","18.18","10.94","14.84","18.18","50.00","50.00","","45.45"
"ovuvo","€3.97","299","75.61","40.00","17.86","12.04","15.72","30.00","38.89","43.75","1.86","46.43"
